site_visit_date,location,county,algae_observed,comments,lat,lon,algae_type,microcystin,other_toxin,pic_URL,toxin_present
2019/01/02 13:38:59+00,Waters Edge Cir N Fort Myers,Lee,No,,26.70914,-81.7723,-,-,-,,
2019/01/02 17:55:00+00,Gator Lake at Six Mile Cypress Slough,Lee,Yes,"fish kill, green algae present with clumping at surface",26.572699,-81.824975,Dominant taxon: Aphanizomenon flos-aquae,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/08 13:47:00+00,Franklin Locks Upstream,Lee,Yes,"Algae visible surface/water column, streaks on surface, wind driven accumulation",26.7211,-81.69275,Dominant taxon: Microcystis aeruginosa,5.48,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/08 14:19:59+00,Davis Boat Ramp,Lee,Yes,"Algae visible surface/water column, streaks on surface, wind driven accumulation",26.7115,-81.75314,Co-dominant taxa were: Microcystis aeruginosa and Microcystis wesenbergii,2.35,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/08 20:29:59+00,Lake Clay at boat ramp,Highlands,Yes,"windswept, rust orange algae",27.30329,-81.353621,Dominant taxon: Botryococcus braunii,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/10 19:30:00+00,Harbor Isle - Southern most lobe,Pinellas,Yes,Reported to be ongoing bloom,27.83676,-82.6139597443858,Dominant taxon: Microcystis aeruginosa,28.2,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/15 13:51:59+00,Franklin Locks Upstream,Lee,Yes,"Algae visible surface/water column, wind driven accumulation, oily sheen along shore",26.72111,-81.69275,Dominant taxon: Microcystis sp.,1.5,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/15 14:19:59+00,Davis Boat ramp,Lee,Yes,"Algae visible surface/water column, wind driven accumulation",26.71154,-81.75307,Dominant taxon: Microcystis aeruginosa,7.84,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/15 15:04:59+00,Lake Anne at 343 Lake Annie Drive,Orange,Yes,,28.68822,-81.54644,Dominant taxon: Mycrocystis aeruginosa,15.1,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/18 13:53:00+00,Daisy Canal Cape Coral,Lee,No,,26.57609,-82.01467,-,-,-,,
2019/01/22 14:13:59+00,Franklin Locks Upstream,Lee,Yes,"Algae visible surface/water column, wind driven accumulation",26.72108,-81.69276,Dominant taxon: Microcystis sp.,0.39 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/22 14:58:00+00,Davis Boat Ramp,Lee,Yes,"Algae visible surface/water column, wind driven accumulation",26.71152,-81.75304,Dominant taxon: Microcystis aeruginosa,1.2,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/24 17:00:00+00,Spring Lake Naples,Collier,Yes,Lake management company treated lake with dye making water appear green.,26.13845,-81.79868,-,-,-,,
2019/02/04 14:30:04+00,Davis Boat Ramp,Lee,Yes,"visible surface/water column - somewhat patchy, some decaying clumps",26.7115580862714,-81.7530887854458,Dominant taxon: Microcystis sp.,1.5,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/02/04 14:03:20+00,Franklin Locks Upstream,Lee,Yes,"visible surface/water column, streaks on surface, accumulation along shore/locks",26.7211375949861,-81.6927313785025,Dominant taxon: Microcystis sp.,0.73 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/01/29 20:15:56+00,Parkshore Marina Moorings Bay,Collier,Yes,Collier County staff collected sample to be analyzed by FWC/FWRI,26.198136,-81.811526,Dominant taxon: Anabaena sp.,not collected,not collected,,
2019/02/04 18:59:59+00,North River Shores Ramp,Martin,No,,27.2174231705794,-80.2758267769287,-,-,-,,
2019/01/07 14:26:59+00,IRL Near Titusville Marina,Brevard,Yes,,28.6241595260237,-80.8061667762834,Dominant taxon: Raphidophyceae,not analyzed,not analyzed,,
2019/01/31 18:00:00+00,1769 N. Central Ave,Flagler,Yes,,29.5002490176142,-81.1395151793516,Dominant taxon: Spirogyra sp.,not collected,not collected,,
2019/02/08 15:00:00+00,Lake Theresa,Volusia,No,Volusia County EPD visited the lake this morning and did not observe a bloom. The County described what appeared to be pollen along the shoreline. Otherwise the water was very clear.,28.89858,-81.19368,-,-,-,,
2019/02/11 18:35:00+00,Moorings Bay,Collier,Yes,mild streaking/clumping @ surface,26.1977443,-81.8090564,Dominant taxon: Dolichospermum circinale,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/02/05 16:15:00+00,Center of Lake Weir,Marion,Yes,,29.01748,-81.93846,Dominant taxon: Botryococcus braunii,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Saxitoxin/Paralytic Shellfish Toxins: not detected
2019/02/12 13:31:21+00,Alva Boat Ramp,Lee,Yes,"Small specks visible surface/water column, no accumulation along shore",26.7138186093399,-81.6060261352382,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected
2019/02/18 16:05:00+00,Harbor Isle - NW Lobe,Pinellas,Yes,Follow-up from sample collection in January,27.8398296114249,-82.6170252144608,Dominant taxon: Microcystis aeruginosa,138.37,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/02/18 21:01:59+00,Lake Buffum,Polk,No,No bloom present at time of site visit - pollen noticed along shoreline,27.7976581416734,-81.6643250750374,-,-,-,,
2019/02/19 13:35:13+00,Alva Boat Ramp,Lee,Yes,"Small specks visible surface/water column, no accumulation along shore",26.7138096134142,-81.6060221921095,Dominant taxon: Microcystis aeruginosa,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/02/19 13:57:59+00,Franklin Locks Upstream,Lee,Yes,"Small specks visible surface/water column, some accumulation along shore",26.7211082956561,-81.6927373591295,Dominant taxon: Microcystis aeruginosa,0.40 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/02/27 16:40:00+00,Harbor Isle - Center of system,Pinellas,Yes,,27.8380300341241,-82.6138193397922,Co-dominant taxa were: Microcystis aeruginosa and Aphanizomenon sp.,9.5,Anatoxin-a: not detected,Cylindrospermopsin: not detected,
2019/02/26 16:31:00+00,Fellsmere Water Mgmt Area 1,IndianRiver,Yes,,27.795670976633,-80.7045457930699,Dominant taxon: Microcystis aeruginosa,2.74,Anatoxin-a: not detected,Cylindrospermopsin: 0.05,Saxitoxin/Paralytic Shellfish Toxins: not detected
2019/03/12 12:53:00+00,Franklin Locks Upstream,Lee,Yes,"Sparse specks visible surface/water column, some wind driven accumulation along shore",26.72109,-81.69307,Dominant taxon: Microcystis aeruginosa,0.72 I (I qualifier indicates that the reported value is between the laboratory method detection limit and the laboratory practical quantitation limit.),Anatoxin-a: not detected,Cylindrospermopsin: not detected,
