site_visit_date,location,county,algae_observed,comments,latitude,longitude,algae_type,microcystin,other_toxin,pic_URL,toxin_present,,,,,
2021/06/24 17:08:00+00,Rodman Reservoir - Rodman Dam Road,Putnam,No,,29.5210666666667,-81.8063833333333,Dominant taxon: Microcystis aeruginosa,Pending,Pending,,Pending,,,,,
2021/06/24 15:45:00+00,C51 canal - Military Trail,PalmBeach,No,,26.6771817324262,-80.1118695057127,mixed algae,no dominant species in sample,Pending,Pending,,Pending,,,,
2021/06/24 15:14:59+00,C51 canal - upstream of S155,PalmBeach,No,,26.644822615585,-80.0551796547951,mixed algae,no dominant species in sample,Pending,Pending,,Pending,,,,
2021/06/24 15:00:00+00,C51 canal - Forest Hill Blvd.,PalmBeach,No,,26.6548898055707,-80.0710872845656,mixed algae,no dominant species in sample,Pending,Pending,,Pending,,,,
2021/06/24 14:50:00+00,Sampson River - end of SW 136th St.,Bradford,Yes,,29.9216518,-82.2054368,mixed algae,no dominant species in sample,Pending,Pending,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2463/attachments/2228?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Pending,,,,
2021/06/24 14:29:59+00,Orange River - Manatee Park,Lee,Yes,,26.6919882,-81.777258,Pending,Pending,Pending,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2462/attachments/2225?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Pending,,,,,
2021/06/24 14:29:59+00,C51 canal - Summit Blvd.,PalmBeach,No,,26.6661766928989,-80.0737601646138,mixed algae,no dominant species in sample,Pending,Pending,,Pending,,,,
2021/06/24 13:40:00+00,Caloosahatchee River - S Olga Dr,Lee,Yes,,26.7242053,-81.7125462,Co-dominant taxa were: Microcystis aeruginosa and Cylindrospermopsis raciborskii,Pending,Pending,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2461/attachments/2222?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Pending,,,,,
2021/06/24 12:45:00+00,Caloosahatchee River - Labelle Bridge,Hendry,Yes,,26.7689395,-81.4363524,Dominant taxon: Microcystis aeruginosa,Pending,Pending,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2460/attachments/2219?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Pending,,,,,
2021/06/24 12:27:00+00,C44 canal - Timer Powers Park,Martin,Yes,,Possible BGA observed floating on water surface and in water column,27.01836,-80.44254,mixed algae,no dominant species in sample,Pending,Pending,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2466/attachments/2233?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Pending,,,
2021/06/24 12:23:00+00,Stick Marsh - North (STKM),IndianRiver,No,,27.81065,-80.724854,mixed algae,no dominant species in sample,Pending,Pending,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2465/attachments/2232?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Pending,,,,
2021/06/24 12:11:00+00,Lake Okeechobee - CULV10A,PalmBeach,No,No visible BGA,26.91691,-80.61307,mixed algae,no dominant species in sample,Pending,Pending,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2464/attachments/2231?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Pending,,,,
2021/06/23 17:19:59+00,Lake Sebring,Highlands,Yes,"Blue green algal, smells foul",27.5234433,-81.4786061,Dominant taxon: Dolichospermum circinale,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,Saxitoxins: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2435/attachments/2213?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,No,,
2021/06/23 16:44:00+00,Lake Okeechobee - CLV10A,PalmBeach,No,No visible BGA,26.91646,-80.62276,mixed algae,no dominant species in sample,not detected,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,,No,,
2021/06/23 16:12:00+00,Lake Okeechobee - LZ40,PalmBeach,Yes,"	High density BGA oberved, bright green in color, interspersed throughout water column, no discernable boundaries",26.90152,-80.7895,Dominant taxon: Microcystis aeruginosa,11,Anatoxin-a: not detected,Cylindrospermopsin: not detected,Nodularin: not detected,https://services1.arcgis.com/nRHtyn3uE1kyzoYc/arcgis/rest/services/service_5c5ebb2c750c442da2b09ddcc97bb150/FeatureServer/0/2442/attachments/2218?token=_Y2gDxg4c5cLoUeZS9Mzpf2gv-KgE3mTxf4vreOZbmYjRylGvJFMG91CzaDcXjGdm3AtlDWOP8AcHidyg3MgBE4ulFbF-5zepu6E3DdXkZGdB9FsBqaD1EtclvGo1kQO6bswEF2gz4bZKC-6FAbhoef5zvbMsj8Qt6YWEhkeJJ3O03HGZYBaXqItgx3f4-ra,Yes,,,
